VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
839,36,28,0,98229.0,2018,8,21,0,0,238.0,0.0,40.0,316234537,384,74,53073000904.0
7629,16,179,0,98004.0,2023,17,85,0,1,0.0,0.0,48.0,236033948,270,73,53033024100.0
5292,30,230,0,98036.0,2021,39,100,0,1,0.0,0.0,1.0,175699807,309,72,53061051931.0
6030,16,396,0,98065.0,2023,39,100,0,1,0.0,0.0,5.0,253380452,220,73,53033032604.0
4007,16,377,0,98115.0,2021,5,163,1,0,30.0,0.0,46.0,133005393,323,57,53033004301.0
3116,16,377,0,98125.0,2024,13,101,0,1,0.0,0.0,46.0,272038021,315,57,53033002200.0
4719,16,252,0,98040.0,2023,39,98,0,1,0.0,0.0,41.0,254895560,282,73,53033024602.0
2838,14,147,0,98249.0,2023,13,101,0,1,0.0,0.0,10.0,261025439,406,72,53029971800.0
8887,31,406,0,99218.0,2025,20,143,1,0,30.0,0.0,7.0,276549976,41,2,53063010506.0
1831,30,269,0,98275.0,2013,31,92,0,0,75.0,0.0,21.0,160031602,308,72,53061042006.0
6030,4,327,0,98363.0,2023,39,100,0,1,0.0,0.0,24.0,264580753,530,35,53009000600.0
13485,38,482,0,98908.0,2024,10,72,1,0,32.0,0.0,14.0,272668847,182,64,53077002801.0
8260,16,27,0,98006.0,2024,20,53,0,1,0.0,0.0,41.0,272382554,254,73,53033024800.0
6018,30,395,0,98296.0,2023,39,100,0,1,0.0,0.0,1.0,227273819,258,72,53061052122.0
10131,16,377,0,98115.0,2023,2,118,0,1,0.0,0.0,46.0,240208496,323,57,53033002600.0
10834,36,28,0,98229.0,2017,5,77,1,0,97.0,0.0,40.0,217131316,384,74,53073000803.0
4135,30,257,0,98012.0,2025,39,97,0,1,0.0,0.0,44.0,275991544,281,72,53061052004.0
6973,20,63,0,98532.0,2024,41,23,0,1,0.0,0.0,20.0,268685483,508,73,53041970200.0
5301,26,341,0,98374.0,2020,39,100,0,0,291.0,0.0,2.0,274907174,303,73,53053073129.0
4009,16,350,0,98052.0,2023,5,163,1,0,30.0,0.0,45.0,220201264,257,73,53033032321.0
12044,5,450,0,98662.0,2021,43,83,0,1,0.0,0.0,17.0,161607372,422,36,53011040703.0
1980,31,407,0,99206.0,2016,31,92,0,0,84.0,0.0,4.0,250135112,22,52,53063012600.0
8262,16,377,0,98115.0,2023,20,53,0,1,0.0,0.0,46.0,230153129,323,57,53033002000.0
8172,16,377,0,98117.0,2024,20,54,0,1,0.0,0.0,36.0,267219312,363,57,53033003000.0
4197,30,395,0,98296.0,2018,39,97,0,0,215.0,0.0,44.0,262367857,258,72,53061041610.0
4322,16,350,0,98052.0,2024,39,97,0,1,0.0,0.0,45.0,272061282,257,73,53033022605.0
12832,17,20,0,98110.0,2018,44,166,1,2,19.0,64950.0,23.0,305965285,405,72,53035090700.0
3107,5,450,0,98662.0,2023,13,101,0,1,0.0,0.0,17.0,273733680,422,36,53011040703.0
975,16,187,0,98027.0,2019,8,21,0,0,238.0,0.0,5.0,277648381,239,73,53033032104.0
4186,16,350,0,98053.0,2023,39,97,0,1,0.0,0.0,45.0,256155168,238,73,53033032333.0
956,33,298,0,98502.0,2020,8,21,0,0,259.0,0.0,22.0,262769895,501,72,53067010520.0
6615,17,20,0,98110.0,2024,41,114,1,0,39.0,0.0,23.0,273068932,405,72,53035091001.0
5921,16,377,0,98118.0,2023,39,100,0,1,0.0,0.0,37.0,259210605,299,57,53033011700.0
1804,33,484,0,98597.0,2014,31,92,0,0,84.0,0.0,2.0,163904079,429,72,53067012422.0
660,30,134,0,98204.0,2024,13,58,0,1,0.0,0.0,21.0,268477765,302,72,53061041901.0
6027,30,134,0,98208.0,2024,39,100,0,1,0.0,0.0,44.0,271015440,269,72,53061041607.0
6580,16,377,0,98126.0,2023,31,15,0,1,0.0,0.0,34.0,257796080,357,57,53033011500.0
6030,16,198,0,98034.0,2023,39,100,0,1,0.0,0.0,45.0,238705680,285,73,53033022005.0
4148,16,377,0,98117.0,2020,39,97,0,0,266.0,0.0,36.0,250996819,363,57,53033001702.0
6018,10,319,0,99301.0,2023,39,100,0,1,0.0,0.0,9.0,261178508,112,39,53021020606.0
682,30,269,0,98275.0,2023,13,58,0,1,0.0,0.0,21.0,264615410,308,72,53061042006.0
6038,16,192,0,98028.0,2023,39,100,0,1,0.0,0.0,46.0,229884301,296,73,53033022102.0
3103,16,35,0,98011.0,2023,13,101,0,1,0.0,0.0,1.0,255638421,278,73,53033021803.0
798,16,377,0,98117.0,2017,8,21,0,0,238.0,0.0,36.0,349080854,363,57,53033003000.0
896,16,377,0,98104.0,2020,8,21,0,0,259.0,0.0,43.0,142456093,335,57,53033008500.0
5655,16,350,0,98052.0,2024,35,123,0,1,0.0,0.0,48.0,271024484,257,73,53033022606.0
960,17,390,0,98383.0,2019,8,21,0,0,238.0,0.0,35.0,476222197,461,72,53035091302.0
